Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:35:16Z
Created_By	Publisher Platform Alpha

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Database 1 Bibliographic Database	Gamma	alpha:gam	PPα	alpha:bdb-1	Limit_Exceeded	60	23	21	16
Database 3 Full Content Database	Gamma	alpha:gam	PPα	alpha:fcdb-3	No_License	100	25	30	45
