Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:39:56Z
Created_By	Publisher Platform Delta

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Book 1715	Publisher 109		PPDelta		ppdelta:1715	978-0-300-94426-6				2012	Total_Item_Requests	5	0	0	5
Book 1715	Publisher 109		PPDelta		ppdelta:1715	978-0-300-94426-6				2012	Unique_Title_Requests	5	0	0	5
