Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:39:56Z
Created_By	Publisher Platform Delta

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Journal 12	Publisher 111		PPDelta		ppdelta:12	2042-549X	2042-5406		No_License	3	1	2	0
